age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,hours-per-week,native-country,income,income_encoded
77,Self-emp-inc,1st-4th,1,Divorced,Craft-repair,Own-child,Other,Male,72,Mexico,<=50K,0
38,Without-pay,Preschool,2,Married-AF-spouse,Farming-fishing,Husband,Other,Female,21,Iran,<=50K,0
50,Never-worked,9th,9,Never-married,Adm-clerical,Own-child,Black,Male,75,South,<=50K,0
29,Without-pay,Bachelors,10,Divorced,Priv-house-serv,Husband,Black,Male,12,South,<=50K,0
75,Local-gov,Some-college,5,Married-civ-spouse,Prof-specialty,Not-in-family,White,Female,49,Greece,<=50K,0
39,Private,Assoc-voc,13,Married-AF-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Male,47,Cambodia,<=50K,0
78,Never-worked,Preschool,4,Divorced,Other-service,Wife,White,Female,83,United-States,<=50K,0
61,?,9th,12,Widowed,Sales,Not-in-family,Amer-Indian-Eskimo,Female,98,Japan,<=50K,0
42,Local-gov,1st-4th,4,Never-married,Craft-repair,Own-child,Black,Male,62,Mexico,<=50K,0
66,Private,Doctorate,8,Separated,Exec-managerial,Other-relative,Black,Male,38,China,<=50K,0
44,?,11th,12,Married-spouse-absent,Adm-clerical,Husband,Black,Male,98,Greece,<=50K,0
76,Private,Masters,3,Never-married,Prof-specialty,Husband,Amer-Indian-Eskimo,Male,26,Vietnam,<=50K,0
59,?,1st-4th,15,Divorced,Craft-repair,Own-child,Black,Male,40,Jamaica,<=50K,0
45,Federal-gov,10th,12,Married-AF-spouse,Prof-specialty,Wife,White,Male,16,India,<=50K,0
77,Self-emp-not-inc,Preschool,12,Married-AF-spouse,Adm-clerical,Not-in-family,Other,Female,19,South,<=50K,0
33,Without-pay,9th,4,Divorced,Armed-Forces,Own-child,Amer-Indian-Eskimo,Male,50,Germany,<=50K,0
32,Federal-gov,Bachelors,2,Married-spouse-absent,Sales,Not-in-family,Other,Male,56,Puerto-Rico,<=50K,0
79,Never-worked,7th-8th,6,Never-married,Tech-support,Wife,White,Female,29,United-States,<=50K,0
79,Self-emp-inc,1st-4th,12,Married-AF-spouse,Craft-repair,Other-relative,Asian-Pac-Islander,Male,38,Puerto-Rico,<=50K,0
64,Self-emp-not-inc,Some-college,9,Married-AF-spouse,Exec-managerial,Not-in-family,Black,Female,61,England,<=50K,0
79,Federal-gov,Doctorate,12,Separated,Farming-fishing,Wife,White,Male,36,England,<=50K,0
68,Local-gov,10th,4,Married-civ-spouse,Handlers-cleaners,Own-child,Asian-Pac-Islander,Female,85,Philippines,<=50K,0
61,Private,Preschool,11,Separated,Machine-op-inspct,Unmarried,Amer-Indian-Eskimo,Male,10,Canada,<=50K,0
72,Never-worked,Some-college,6,Married-civ-spouse,Other-service,Other-relative,White,Male,47,United-States,<=50K,0
69,Local-gov,HS-grad,4,Married-AF-spouse,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,87,China,<=50K,0
74,Self-emp-not-inc,1st-4th,14,Married-civ-spouse,Craft-repair,Other-relative,Other,Female,44,Germany,<=50K,0
20,Private,Preschool,2,Never-married,Sales,Husband,Other,Female,62,Cambodia,<=50K,0
54,Never-worked,12th,13,Married-AF-spouse,Sales,Unmarried,Amer-Indian-Eskimo,Female,7,Iran,<=50K,0
68,Self-emp-inc,11th,14,Married-AF-spouse,Prof-specialty,Wife,Other,Female,69,United-States,>50K,1
24,Self-emp-not-inc,HS-grad,6,Married-civ-spouse,Farming-fishing,Not-in-family,Other,Female,19,Japan,<=50K,0
38,Never-worked,Assoc-acdm,12,Divorced,Prof-specialty,Own-child,Black,Male,33,South,<=50K,0
26,Federal-gov,Assoc-voc,7,Married-civ-spouse,Other-service,Other-relative,Amer-Indian-Eskimo,Female,24,Italy,<=50K,0
56,Never-worked,Prof-school,4,Married-civ-spouse,Adm-clerical,Other-relative,Amer-Indian-Eskimo,Male,23,England,<=50K,0
35,Self-emp-not-inc,Some-college,12,Married-spouse-absent,Transport-moving,Other-relative,Asian-Pac-Islander,Female,86,Germany,<=50K,0
21,Federal-gov,11th,11,Married-spouse-absent,Exec-managerial,Wife,Black,Male,53,Cambodia,<=50K,0
42,Local-gov,12th,7,Never-married,Armed-Forces,Own-child,White,Female,21,England,<=50K,0
77,Self-emp-not-inc,Masters,13,Never-married,Craft-repair,Wife,Black,Male,82,Greece,<=50K,0
31,State-gov,11th,11,Divorced,Prof-specialty,Own-child,White,Male,91,Canada,<=50K,0
67,Self-emp-inc,Doctorate,8,Married-spouse-absent,Other-service,Not-in-family,Amer-Indian-Eskimo,Female,37,Germany,<=50K,0
75,State-gov,Prof-school,11,Separated,Machine-op-inspct,Husband,Black,Male,49,South,<=50K,0
26,Without-pay,1st-4th,3,Never-married,Protective-serv,Own-child,Asian-Pac-Islander,Female,25,Greece,<=50K,0
43,Private,Masters,15,Never-married,Other-service,Unmarried,Other,Male,39,United-States,<=50K,0
70,?,1st-4th,2,Married-spouse-absent,Exec-managerial,Wife,White,Male,30,Mexico,<=50K,0
19,Self-emp-inc,Prof-school,5,Married-spouse-absent,Sales,Wife,Other,Female,43,Germany,<=50K,0
37,State-gov,HS-grad,2,Divorced,Sales,Wife,Amer-Indian-Eskimo,Male,78,Mexico,<=50K,0
45,?,9th,10,Married-spouse-absent,Craft-repair,Husband,Amer-Indian-Eskimo,Male,98,England,<=50K,0
64,Self-emp-inc,Assoc-acdm,5,Widowed,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Female,54,Philippines,<=50K,0
77,?,Assoc-acdm,10,Married-civ-spouse,Other-service,Own-child,Other,Female,32,Japan,<=50K,0
24,Federal-gov,Bachelors,15,Married-AF-spouse,Sales,Own-child,Amer-Indian-Eskimo,Female,95,Philippines,<=50K,0
61,State-gov,Assoc-acdm,13,Separated,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,49,Italy,<=50K,0
78,Never-worked,11th,6,Married-AF-spouse,Adm-clerical,Other-relative,Other,Male,2,South,<=50K,0
25,Federal-gov,10th,8,Married-civ-spouse,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Female,47,Poland,<=50K,0
64,Self-emp-inc,Assoc-acdm,6,Widowed,Priv-house-serv,Unmarried,White,Female,23,Japan,<=50K,0
52,Self-emp-inc,12th,4,Widowed,Sales,Wife,Black,Female,6,Vietnam,<=50K,0
31,Self-emp-not-inc,10th,3,Married-civ-spouse,Other-service,Other-relative,White,Male,85,Puerto-Rico,<=50K,0
34,State-gov,Masters,14,Married-AF-spouse,Exec-managerial,Own-child,Amer-Indian-Eskimo,Female,90,South,>50K,1
53,Without-pay,10th,14,Married-civ-spouse,Adm-clerical,Own-child,Amer-Indian-Eskimo,Male,94,Puerto-Rico,<=50K,0
67,Without-pay,Assoc-acdm,2,Never-married,Tech-support,Other-relative,Amer-Indian-Eskimo,Female,41,Puerto-Rico,<=50K,0
57,Self-emp-inc,Some-college,13,Widowed,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,42,South,<=50K,0
21,Without-pay,Bachelors,1,Married-AF-spouse,Transport-moving,Unmarried,Other,Male,94,England,<=50K,0
19,Private,Masters,2,Married-civ-spouse,Sales,Wife,Black,Male,53,Jamaica,<=50K,0
79,Self-emp-not-inc,5th-6th,2,Never-married,Exec-managerial,Husband,Other,Female,72,Philippines,<=50K,0
23,Self-emp-inc,Preschool,15,Married-spouse-absent,Handlers-cleaners,Unmarried,Other,Female,39,Philippines,<=50K,0
71,Without-pay,11th,5,Widowed,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Female,97,Philippines,<=50K,0
59,State-gov,Prof-school,9,Separated,Handlers-cleaners,Wife,White,Male,10,India,<=50K,0
21,Never-worked,5th-6th,1,Separated,Tech-support,Wife,White,Female,82,Greece,<=50K,0
71,Federal-gov,5th-6th,4,Married-civ-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,Male,50,Cambodia,<=50K,0
46,Federal-gov,HS-grad,10,Separated,Handlers-cleaners,Unmarried,Black,Female,75,England,<=50K,0
35,Private,Assoc-voc,7,Never-married,Sales,Other-relative,Asian-Pac-Islander,Female,8,Cuba,<=50K,0
43,?,HS-grad,11,Married-spouse-absent,Sales,Wife,Other,Female,1,Vietnam,<=50K,0
61,State-gov,9th,14,Married-civ-spouse,Craft-repair,Own-child,Asian-Pac-Islander,Female,72,Mexico,<=50K,0
51,?,Assoc-voc,10,Divorced,Prof-specialty,Wife,Asian-Pac-Islander,Female,69,India,<=50K,0
27,Self-emp-not-inc,12th,3,Married-AF-spouse,Protective-serv,Own-child,Asian-Pac-Islander,Male,1,Cuba,<=50K,0
79,Never-worked,7th-8th,8,Widowed,Priv-house-serv,Other-relative,Black,Male,67,South,<=50K,0
53,Self-emp-not-inc,Bachelors,3,Separated,Farming-fishing,Other-relative,White,Female,27,England,<=50K,0
31,Self-emp-inc,5th-6th,8,Separated,Other-service,Wife,White,Male,61,Japan,<=50K,0
48,State-gov,Prof-school,13,Married-civ-spouse,Tech-support,Unmarried,Asian-Pac-Islander,Female,48,India,<=50K,0
65,Self-emp-inc,10th,2,Married-AF-spouse,Exec-managerial,Own-child,Black,Female,23,Greece,<=50K,0
32,Local-gov,HS-grad,5,Married-AF-spouse,Prof-specialty,Own-child,White,Female,44,Vietnam,<=50K,0
25,Without-pay,Assoc-acdm,4,Separated,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,40,Canada,<=50K,0
31,Federal-gov,Bachelors,11,Separated,Exec-managerial,Own-child,White,Male,11,Greece,<=50K,0
40,Self-emp-inc,Assoc-acdm,9,Divorced,Exec-managerial,Husband,White,Male,11,Mexico,<=50K,0
77,?,Bachelors,3,Married-AF-spouse,Priv-house-serv,Other-relative,Black,Male,31,Greece,<=50K,0
74,Local-gov,Doctorate,12,Never-married,Farming-fishing,Own-child,Black,Male,60,Cuba,<=50K,0
79,Federal-gov,Doctorate,11,Widowed,Protective-serv,Husband,White,Male,55,Italy,<=50K,0
57,Self-emp-inc,Bachelors,5,Married-civ-spouse,Armed-Forces,Husband,Amer-Indian-Eskimo,Female,24,Jamaica,<=50K,0
38,Local-gov,9th,10,Married-civ-spouse,Transport-moving,Other-relative,Amer-Indian-Eskimo,Female,62,Greece,<=50K,0
33,Local-gov,Some-college,9,Divorced,Armed-Forces,Not-in-family,Asian-Pac-Islander,Male,19,England,<=50K,0
62,State-gov,12th,13,Widowed,Protective-serv,Wife,Asian-Pac-Islander,Male,96,China,<=50K,0
35,Self-emp-not-inc,10th,6,Divorced,Machine-op-inspct,Other-relative,White,Female,40,Germany,<=50K,0
64,Local-gov,Doctorate,2,Never-married,Armed-Forces,Not-in-family,White,Female,17,Greece,<=50K,0
70,Private,Assoc-acdm,1,Married-spouse-absent,Armed-Forces,Unmarried,White,Female,50,England,<=50K,0
41,Self-emp-not-inc,Preschool,12,Married-civ-spouse,Farming-fishing,Wife,Amer-Indian-Eskimo,Male,12,Greece,<=50K,0
43,Federal-gov,Doctorate,11,Married-AF-spouse,Tech-support,Wife,Other,Female,15,England,<=50K,0
42,Federal-gov,Preschool,1,Widowed,Machine-op-inspct,Wife,Asian-Pac-Islander,Male,39,Vietnam,<=50K,0
77,Federal-gov,Assoc-acdm,7,Separated,Protective-serv,Husband,Asian-Pac-Islander,Female,13,Puerto-Rico,<=50K,0
77,Federal-gov,Assoc-acdm,14,Widowed,Transport-moving,Own-child,Other,Female,94,Iran,<=50K,0
77,Private,9th,12,Never-married,Handlers-cleaners,Wife,White,Male,19,Poland,<=50K,0
62,Self-emp-inc,HS-grad,2,Married-civ-spouse,Tech-support,Own-child,Asian-Pac-Islander,Female,73,Cambodia,<=50K,0
58,Never-worked,11th,7,Married-AF-spouse,Armed-Forces,Wife,Amer-Indian-Eskimo,Female,57,Mexico,<=50K,0
46,Local-gov,Assoc-acdm,1,Never-married,Adm-clerical,Husband,Other,Female,92,United-States,<=50K,0
32,Federal-gov,HS-grad,4,Married-spouse-absent,Priv-house-serv,Unmarried,Amer-Indian-Eskimo,Male,60,England,<=50K,0
62,Self-emp-not-inc,Some-college,10,Married-AF-spouse,Sales,Wife,White,Male,56,Mexico,<=50K,0
18,Self-emp-not-inc,Assoc-acdm,15,Married-civ-spouse,Protective-serv,Other-relative,Asian-Pac-Islander,Female,25,Germany,<=50K,0
42,Local-gov,12th,15,Widowed,Handlers-cleaners,Not-in-family,Amer-Indian-Eskimo,Male,4,Japan,<=50K,0
24,Self-emp-inc,Prof-school,13,Separated,Other-service,Wife,Other,Female,52,Canada,<=50K,0
26,Never-worked,Masters,11,Married-AF-spouse,Machine-op-inspct,Not-in-family,White,Male,7,Japan,<=50K,0
41,Self-emp-inc,7th-8th,4,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Male,68,United-States,<=50K,0
18,Local-gov,Masters,15,Never-married,Armed-Forces,Husband,Asian-Pac-Islander,Male,87,Vietnam,<=50K,0
61,?,Assoc-acdm,5,Married-spouse-absent,Craft-repair,Unmarried,White,Female,70,Cambodia,<=50K,0
25,Private,Doctorate,14,Married-AF-spouse,Craft-repair,Not-in-family,White,Male,45,Germany,<=50K,0
41,Local-gov,Preschool,14,Never-married,Machine-op-inspct,Husband,White,Male,9,Germany,<=50K,0
28,Without-pay,11th,10,Never-married,Armed-Forces,Unmarried,Amer-Indian-Eskimo,Male,9,Greece,<=50K,0
68,State-gov,Masters,15,Divorced,Machine-op-inspct,Wife,Black,Female,85,United-States,<=50K,0
34,State-gov,Prof-school,15,Never-married,Tech-support,Own-child,Asian-Pac-Islander,Female,3,Cambodia,<=50K,0
25,Self-emp-inc,5th-6th,1,Widowed,Prof-specialty,Husband,Amer-Indian-Eskimo,Female,77,Vietnam,<=50K,0
52,Local-gov,12th,7,Married-AF-spouse,Adm-clerical,Not-in-family,Other,Female,63,Mexico,<=50K,0
52,Local-gov,9th,11,Married-spouse-absent,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,82,Greece,<=50K,0
50,State-gov,7th-8th,2,Separated,Craft-repair,Wife,Black,Female,95,Canada,<=50K,0
76,Never-worked,9th,12,Divorced,Machine-op-inspct,Husband,Other,Female,93,China,<=50K,0
22,State-gov,5th-6th,15,Never-married,Machine-op-inspct,Wife,Asian-Pac-Islander,Female,2,Philippines,<=50K,0
59,Local-gov,11th,11,Married-AF-spouse,Sales,Husband,Black,Female,31,Iran,<=50K,0
56,Never-worked,7th-8th,15,Widowed,Armed-Forces,Own-child,White,Female,38,England,<=50K,0
75,Federal-gov,11th,13,Widowed,Sales,Other-relative,Black,Female,7,Cambodia,<=50K,0
58,Without-pay,9th,11,Widowed,Exec-managerial,Wife,Asian-Pac-Islander,Male,10,Mexico,<=50K,0
45,?,12th,13,Married-civ-spouse,Transport-moving,Not-in-family,Black,Female,77,China,<=50K,0
24,Private,7th-8th,2,Divorced,Farming-fishing,Wife,Asian-Pac-Islander,Male,59,England,<=50K,0
26,Federal-gov,Assoc-voc,8,Married-spouse-absent,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,1,Italy,<=50K,0
25,Self-emp-not-inc,HS-grad,15,Married-civ-spouse,Tech-support,Wife,Black,Female,37,England,<=50K,0
29,State-gov,12th,9,Married-spouse-absent,Transport-moving,Own-child,Black,Male,25,Vietnam,<=50K,0
51,Without-pay,5th-6th,6,Married-civ-spouse,Adm-clerical,Husband,Other,Male,94,Puerto-Rico,<=50K,0
50,State-gov,7th-8th,11,Separated,Other-service,Unmarried,Other,Male,66,Canada,<=50K,0
65,State-gov,11th,1,Married-spouse-absent,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Male,88,Greece,<=50K,0
72,Federal-gov,5th-6th,1,Married-civ-spouse,Sales,Not-in-family,Asian-Pac-Islander,Female,76,India,<=50K,0
40,?,11th,14,Widowed,Handlers-cleaners,Husband,Other,Male,5,Iran,<=50K,0
79,Never-worked,Some-college,11,Married-spouse-absent,Exec-managerial,Unmarried,Amer-Indian-Eskimo,Female,56,Jamaica,<=50K,0
41,State-gov,12th,7,Divorced,Exec-managerial,Own-child,Asian-Pac-Islander,Female,79,Italy,<=50K,0
54,Self-emp-inc,5th-6th,8,Married-spouse-absent,Tech-support,Wife,Amer-Indian-Eskimo,Male,42,Cuba,<=50K,0
52,Local-gov,11th,3,Married-AF-spouse,Craft-repair,Other-relative,Other,Male,64,South,<=50K,0
61,Without-pay,Bachelors,9,Married-spouse-absent,Exec-managerial,Not-in-family,Amer-Indian-Eskimo,Male,49,Poland,<=50K,0
57,Self-emp-inc,5th-6th,4,Married-civ-spouse,Craft-repair,Own-child,Black,Male,46,Germany,<=50K,0
39,Federal-gov,HS-grad,4,Married-spouse-absent,Tech-support,Own-child,Amer-Indian-Eskimo,Female,71,China,<=50K,0
44,Federal-gov,9th,3,Separated,Farming-fishing,Own-child,White,Male,2,England,<=50K,0
52,?,Prof-school,8,Never-married,Other-service,Wife,White,Male,67,Germany,<=50K,0
18,?,Some-college,9,Divorced,Transport-moving,Own-child,Amer-Indian-Eskimo,Female,4,Cuba,<=50K,0
52,Never-worked,11th,1,Married-AF-spouse,Tech-support,Own-child,White,Female,62,England,<=50K,0
54,Local-gov,Bachelors,2,Widowed,Farming-fishing,Husband,Amer-Indian-Eskimo,Female,80,Cambodia,<=50K,0
64,Without-pay,Some-college,1,Married-civ-spouse,Machine-op-inspct,Husband,Amer-Indian-Eskimo,Female,27,England,<=50K,0
31,Local-gov,Bachelors,14,Widowed,Machine-op-inspct,Own-child,Amer-Indian-Eskimo,Male,86,Iran,<=50K,0
20,Self-emp-not-inc,Some-college,4,Widowed,Machine-op-inspct,Own-child,White,Male,67,Greece,<=50K,0
18,?,11th,10,Married-spouse-absent,Handlers-cleaners,Husband,Asian-Pac-Islander,Female,17,Poland,<=50K,0
22,Never-worked,Bachelors,7,Married-spouse-absent,Handlers-cleaners,Wife,Amer-Indian-Eskimo,Male,86,Philippines,<=50K,0
43,Private,Masters,14,Married-spouse-absent,Craft-repair,Husband,Amer-Indian-Eskimo,Female,52,Japan,<=50K,0
72,State-gov,7th-8th,7,Divorced,Adm-clerical,Husband,Black,Male,71,Puerto-Rico,<=50K,0
31,State-gov,12th,12,Married-AF-spouse,Handlers-cleaners,Husband,Black,Female,57,United-States,<=50K,0
56,Private,Prof-school,6,Never-married,Exec-managerial,Husband,Other,Female,30,South,<=50K,0
44,Local-gov,Preschool,13,Separated,Sales,Other-relative,White,Female,72,Iran,<=50K,0
26,Private,9th,11,Married-AF-spouse,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Male,83,Cambodia,<=50K,0
32,Never-worked,Prof-school,5,Separated,Exec-managerial,Wife,Amer-Indian-Eskimo,Male,71,Canada,<=50K,0
32,Without-pay,9th,11,Widowed,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Male,65,Germany,<=50K,0
43,Private,Assoc-voc,4,Married-AF-spouse,Sales,Wife,White,Male,16,United-States,<=50K,0
59,Never-worked,1st-4th,12,Married-civ-spouse,Craft-repair,Own-child,Other,Male,95,Canada,<=50K,0
77,?,HS-grad,13,Never-married,Priv-house-serv,Other-relative,Other,Female,27,Italy,<=50K,0
30,Self-emp-inc,5th-6th,14,Never-married,Handlers-cleaners,Own-child,Black,Female,74,Japan,<=50K,0
68,Federal-gov,Assoc-voc,8,Divorced,Priv-house-serv,Wife,White,Female,98,Jamaica,<=50K,0
49,Federal-gov,Assoc-acdm,7,Married-AF-spouse,Craft-repair,Wife,Other,Female,47,Jamaica,<=50K,0
56,Self-emp-not-inc,11th,11,Married-spouse-absent,Transport-moving,Unmarried,Other,Female,14,Puerto-Rico,<=50K,0
66,Local-gov,7th-8th,11,Never-married,Priv-house-serv,Unmarried,Asian-Pac-Islander,Female,2,India,<=50K,0
69,Without-pay,1st-4th,10,Married-AF-spouse,Handlers-cleaners,Own-child,Black,Female,39,Japan,<=50K,0
78,Self-emp-inc,12th,1,Married-spouse-absent,Handlers-cleaners,Not-in-family,Black,Female,55,Iran,<=50K,0
49,Self-emp-inc,5th-6th,6,Divorced,Tech-support,Own-child,Black,Male,86,Puerto-Rico,<=50K,0
21,?,Preschool,14,Widowed,Protective-serv,Not-in-family,Other,Male,26,Jamaica,<=50K,0
47,Private,10th,2,Widowed,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,Male,44,Iran,<=50K,0
54,Local-gov,7th-8th,4,Married-AF-spouse,Farming-fishing,Husband,Other,Male,69,Philippines,<=50K,0
40,State-gov,Doctorate,5,Married-AF-spouse,Priv-house-serv,Wife,Other,Male,38,Greece,<=50K,0
56,Self-emp-inc,Prof-school,8,Married-civ-spouse,Other-service,Husband,White,Female,80,Cuba,<=50K,0
62,Never-worked,9th,6,Married-AF-spouse,Other-service,Wife,Black,Female,12,Greece,<=50K,0
32,State-gov,Assoc-voc,11,Married-civ-spouse,Protective-serv,Husband,Black,Female,17,United-States,<=50K,0
60,Self-emp-not-inc,7th-8th,2,Married-spouse-absent,Protective-serv,Not-in-family,Asian-Pac-Islander,Female,25,Greece,<=50K,0
46,Private,Assoc-voc,5,Widowed,Transport-moving,Husband,Black,Male,64,India,<=50K,0
53,Private,HS-grad,15,Married-spouse-absent,Prof-specialty,Other-relative,Other,Male,88,United-States,<=50K,0
30,Without-pay,HS-grad,5,Widowed,Transport-moving,Husband,White,Male,11,Cambodia,<=50K,0
49,Self-emp-inc,Masters,6,Widowed,Other-service,Unmarried,Asian-Pac-Islander,Male,18,Jamaica,<=50K,0
24,?,9th,1,Never-married,Priv-house-serv,Unmarried,Other,Female,36,Japan,<=50K,0
76,Federal-gov,Assoc-acdm,8,Divorced,Adm-clerical,Husband,Other,Female,3,United-States,<=50K,0
68,Never-worked,7th-8th,3,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,Female,83,England,<=50K,0
39,State-gov,Doctorate,5,Widowed,Prof-specialty,Other-relative,Other,Female,70,United-States,<=50K,0
45,Self-emp-not-inc,12th,7,Never-married,Prof-specialty,Wife,Other,Female,87,England,<=50K,0
19,Federal-gov,Doctorate,3,Separated,Machine-op-inspct,Husband,White,Female,71,Japan,<=50K,0
59,Private,Assoc-voc,14,Never-married,Farming-fishing,Wife,White,Male,9,Cuba,<=50K,0
62,State-gov,Assoc-voc,10,Married-spouse-absent,Transport-moving,Unmarried,White,Female,66,India,<=50K,0
79,Local-gov,HS-grad,15,Separated,Other-service,Own-child,Black,Male,47,United-States,<=50K,0
74,Self-emp-inc,11th,13,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,50,England,<=50K,0
70,Self-emp-not-inc,9th,15,Married-AF-spouse,Handlers-cleaners,Own-child,White,Male,64,Cuba,<=50K,0
23,Local-gov,Assoc-voc,6,Divorced,Transport-moving,Other-relative,Other,Male,47,Japan,<=50K,0
45,?,HS-grad,5,Married-civ-spouse,Protective-serv,Other-relative,Black,Male,75,Greece,<=50K,0
45,Self-emp-inc,10th,7,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Male,67,Italy,<=50K,0
61,State-gov,HS-grad,10,Separated,Transport-moving,Wife,White,Female,42,China,<=50K,0
61,Self-emp-inc,Bachelors,15,Widowed,Tech-support,Husband,White,Male,49,Germany,<=50K,0
37,Federal-gov,Preschool,11,Divorced,Sales,Own-child,Asian-Pac-Islander,Female,30,Canada,<=50K,0
47,Without-pay,Masters,3,Widowed,Exec-managerial,Wife,White,Female,8,Canada,<=50K,0
79,Federal-gov,Assoc-voc,13,Never-married,Priv-house-serv,Unmarried,Asian-Pac-Islander,Male,37,Mexico,<=50K,0
28,?,Bachelors,14,Married-AF-spouse,Craft-repair,Wife,Asian-Pac-Islander,Male,85,Italy,<=50K,0
75,Never-worked,12th,2,Married-spouse-absent,Tech-support,Unmarried,Other,Female,8,China,<=50K,0
72,Local-gov,12th,4,Married-spouse-absent,Craft-repair,Wife,Asian-Pac-Islander,Female,63,Poland,<=50K,0
45,Federal-gov,HS-grad,3,Divorced,Machine-op-inspct,Not-in-family,Amer-Indian-Eskimo,Female,11,Vietnam,<=50K,0
42,Without-pay,Masters,15,Married-spouse-absent,Farming-fishing,Wife,White,Male,58,Poland,<=50K,0
56,Never-worked,Doctorate,4,Married-civ-spouse,Prof-specialty,Not-in-family,Other,Female,34,Italy,<=50K,0
79,Federal-gov,11th,7,Widowed,Farming-fishing,Other-relative,Black,Male,39,Iran,<=50K,0
50,Private,Masters,5,Divorced,Craft-repair,Husband,Amer-Indian-Eskimo,Male,16,Jamaica,<=50K,0
